"","enrolled_at","unenrolled_at","fully_participated_at","purchased_statement_at","gender","country","age_range","highest_education_level","employment_status","employment_area","detected_country"
"7319",1,0,1,0,0,"GB","56-65","university_degree","not_working","charities_and_voluntary_work","GB"
"7334",1,1,0,0,1,"BE","36-45","university_degree","working_full_time","accountancy_banking_and_finance","BE"
"7338",1,0,1,0,0,"GB","46-55","professional","working_full_time","charities_and_voluntary_work","GB"
"7342",1,0,0,0,0,"GB","36-45","university_masters","working_full_time","teaching_and_education","GB"
"7343",1,0,0,0,1,"MA","26-35","university_degree","looking_for_work","accountancy_banking_and_finance","MA"
"7349",1,1,0,0,1,"ID","26-35","secondary","self_employed","it_and_information_services","ID"
"7359",1,0,0,0,0,"PL","18-25","university_degree","full_time_student","creative_arts_and_culture","PL"
"7364",1,0,0,0,1,"SS","18-25","secondary","looking_for_work","it_and_information_services","UG"
"7394",1,0,0,0,0,"US","36-45","university_degree","working_full_time","transport_and_logistics","US"
"7399",1,0,0,0,1,"US","26-35","university_degree","looking_for_work","it_and_information_services","US"
"7423",1,0,0,0,0,"US","46-55","university_degree","working_part_time","retail_and_sales","US"
"7435",1,0,0,0,1,"GB","36-45","university_degree","working_full_time","it_and_information_services","GB"
"7442",1,0,0,0,0,"MX","26-35","university_degree","working_full_time","business_consulting_and_management","MX"
"7457",1,0,0,0,0,"GB","36-45","university_degree","not_working","teaching_and_education","GB"
"7484",1,0,0,0,0,"ID","26-35","university_degree","full_time_student","charities_and_voluntary_work","ID"
"7495",1,0,0,0,0,"NL","46-55","university_degree","working_full_time","it_and_information_services","GR"
"7503",1,0,0,0,1,"GB","56-65","secondary","working_full_time","hospitality_tourism_and_sport","GB"
"7527",1,0,0,0,0,"AU","36-45","university_masters","self_employed","retail_and_sales","AU"
"7540",1,0,0,0,1,"BG","36-45","university_degree","working_part_time","it_and_information_services","GB"
"7544",1,0,0,0,0,"GB","46-55","university_masters","not_working","health_and_social_care","GB"
"7565",1,0,1,0,0,"GB","56-65","university_degree","retired","teaching_and_education","GB"
"7576",1,0,0,0,1,"NG","26-35","university_degree","working_full_time","environment_and_agriculture","NG"
"7594",1,0,0,0,1,"TH","18-25","secondary","full_time_student","teaching_and_education","TH"
"7601",1,0,0,0,0,"TR","26-35","university_degree","looking_for_work","business_consulting_and_management","IT"
"7606",1,0,0,0,0,"AU","56-65","secondary","working_part_time","hospitality_tourism_and_sport","AU"
"7614",1,0,0,0,0,"MX","26-35","university_degree","self_employed","retail_and_sales","MX"
"7622",1,0,0,0,1,"GB","26-35","university_degree","working_part_time","retail_and_sales","GB"
"7631",1,0,0,0,1,"XK","46-55","university_masters","working_full_time","retail_and_sales","AL"
"7632",1,0,0,0,0,"AU","46-55","tertiary","working_part_time","it_and_information_services","AU"
"7636",1,0,0,0,0,"GR","46-55","university_masters","working_full_time","teaching_and_education","GR"
"7650",1,0,0,0,0,"GB","56-65","professional","looking_for_work","public_sector","GB"
"7655",1,0,1,0,1,"SN","36-45","tertiary","looking_for_work","business_consulting_and_management","SN"
"7676",1,1,0,0,0,"MX","46-55","secondary","working_part_time","teaching_and_education","PL"
"7682",1,0,0,0,0,"ID","18-25","university_degree","full_time_student","science_and_pharmaceuticals","ID"
"7688",1,0,0,0,0,"RU","26-35","university_masters","working_full_time","law","RU"
"7697",1,0,0,0,0,"NG","36-45","university_masters","working_full_time","charities_and_voluntary_work","NG"
"7704",1,1,0,0,0,"GB","36-45","university_masters","looking_for_work","teaching_and_education","GB"
"7705",1,0,0,0,1,"GH","36-45","professional","working_full_time","health_and_social_care","GH"
"7720",1,0,1,0,1,"NG","26-35","university_degree","working_full_time","armed_forces_and_emergency_services","--"
"7729",1,0,0,0,1,"LR","26-35","secondary","looking_for_work","it_and_information_services","--"
"7733",1,0,0,0,1,"SV","18-25","secondary","looking_for_work","it_and_information_services","SV"
"7735",1,0,1,0,0,"GB","36-45","university_degree","self_employed","teaching_and_education","GB"
"7742",1,0,0,0,1,"NG","26-35","university_degree","full_time_student","it_and_information_services","--"
"7756",1,0,0,0,0,"GB","36-45","university_degree","looking_for_work","business_consulting_and_management","GB"
"7758",1,0,0,0,1,"DZ","18-25","university_degree","full_time_student","it_and_information_services","DZ"
"7767",1,0,0,0,1,"HT","18-25","less_than_secondary","looking_for_work","it_and_information_services","HT"
"7773",1,0,0,0,1,"GB","18-25","secondary","working_part_time","it_and_information_services","GB"
"7790",1,0,0,0,1,"KR",">65","university_degree","working_full_time","engineering_and_manufacturing","KR"
"7795",1,0,0,0,1,"VE","36-45","university_degree","unemployed","energy_and_utilities","CL"
"7796",1,0,0,0,1,"EG","18-25","secondary","full_time_student","engineering_and_manufacturing","EG"
"7797",1,1,0,0,0,"RS","26-35","university_doctorate","working_part_time","business_consulting_and_management","RS"
"7811",1,0,0,0,1,"LR","26-35","secondary","working_part_time","health_and_social_care","LR"
"7831",1,0,0,0,1,"MX","36-45","university_masters","working_part_time","teaching_and_education","MX"
"7832",1,0,0,0,1,"DE","18-25","university_degree","full_time_student","public_sector","DE"
"7833",1,0,0,0,1,"CO","36-45","professional","working_full_time","armed_forces_and_emergency_services","CO"
"7837",1,0,0,0,1,"GR","26-35","university_degree","working_full_time","it_and_information_services","GR"
"7843",1,1,0,0,0,"GG","26-35","university_degree","working_full_time","accountancy_banking_and_finance","GG"
"7862",1,0,0,0,1,"HK","56-65","secondary","retired","it_and_information_services","GB"
"7878",1,1,0,0,0,"GB","26-35","university_degree","working_full_time","accountancy_banking_and_finance","GB"
"7907",1,0,0,0,1,"IE","36-45","university_degree","looking_for_work","it_and_information_services","FR"
"7909",1,0,0,0,1,"RO","36-45","university_masters","working_full_time","it_and_information_services","RO"
"7925",1,1,0,0,0,"MY","36-45","university_degree","working_full_time","teaching_and_education","MY"
"7926",1,0,0,0,0,"AU",">65","professional","working_part_time","accountancy_banking_and_finance","AU"
"7943",1,0,0,0,1,"SD","36-45","university_masters","working_full_time","teaching_and_education","SD"
